SOC,SOC_TITLE,OCC,OCC_TITLE
11-1011,Chief executives,10,Chief executives
11-1021,General and operations managers,20,General and operations managers
11-1031,Legislators,440,Other managers
11-2011,Advertising and promotions managers,40,Advertising and promotions managers
11-2021,Marketing managers,51,Marketing managers
11-2022,Sales managers,52,Sales managers
11-2032,Public relations managers,60,Public relations and fundraising managers
11-2033,Fundraising managers,60,Public relations and fundraising managers
11-3012,Administrative services managers,101,Administrative services managers
11-3013,Facilities managers,102,Facilities managers
11-3021,Computer and information systems managers,110,Computer and information systems managers
11-3031,Financial managers,120,Financial managers
11-3051,Industrial production managers,140,Industrial production managers
11-3061,Purchasing managers,150,Purchasing managers
11-3071,"Transportation, storage, and distribution managers",160,"Transportation, storage, and distribution managers"
11-3111,Compensation and benefits managers,135,Compensation and benefits managers
11-3121,Human resources managers,136,Human resources managers
11-3131,Training and development managers,137,Training and development managers
11-9013,"Farmers, ranchers, and other agricultural managers",205,"Farmers, ranchers, and other agricultural managers"
11-9021,Construction managers,220,Construction managers
11-9031,"Education and childcare administrators, preschool and daycare",230,Education and childcare administrators
11-9032,"Education administrators, kindergarten through secondary",230,Education and childcare administrators
11-9033,"Education administrators, postsecondary",230,Education and childcare administrators
11-9039,"Education administrators, all other",230,Education and childcare administrators
11-9041,Architectural and engineering managers,300,Architectural and engineering managers
11-9051,Food service managers,310,Food service managers
11-9071,Gambling managers,335,Entertainment and recreation managers
11-9072,"Entertainment and recreation managers, except gambling",335,Entertainment and recreation managers
11-9081,Lodging managers,340,Lodging managers
11-9111,Medical and health services managers,350,Medical and health services managers
11-9121,Natural sciences managers,360,Natural sciences managers
11-9131,Postmasters and mail superintendents,440,Other managers
11-9141,"Property, real estate, and community association managers",410,"Property, real estate, and community association managers"
11-9151,Social and community service managers,420,Social and community service managers
11-9161,Emergency management directors,425,Emergency management directors
11-9171,Funeral home managers,440,Other managers
11-9179,"Personal service managers, all other",440,Other managers
11-9199,"Managers, all other",440,Other managers
13-1011,"Agents and business managers of artists, performers, and athletes",500,"Agents and business managers of artists, performers, and athletes"
13-1020,Buyers and purchasing agents,510,"Buyers and purchasing agents, farm products"
13-1020,Buyers and purchasing agents,520,"Wholesale and retail buyers, except farm products"
13-1020,Buyers and purchasing agents,530,"Purchasing agents, except wholesale, retail, and farm products"
13-1031,"Claims adjusters, examiners, and investigators",540,"Claims adjusters, appraisers, examiners, and investigators"
13-1032,"Insurance appraisers, auto damage",540,"Claims adjusters, appraisers, examiners, and investigators"
13-1041,Compliance officers,565,Compliance officers
13-1051,Cost estimators,600,Cost estimators
13-1071,Human resources specialists,630,Human resources workers
13-1074,Farm labor contractors,630,Human resources workers
13-1075,Labor relations specialists,630,Human resources workers
13-1081,Logisticians,700,Logisticians
13-1082,Project management specialists,705,Project management specialists
13-1111,Management analysts,710,Management analysts
13-1121,"Meeting, convention, and event planners",725,"Meeting, convention, and event planners"
13-1131,Fundraisers,726,Fundraisers
13-1141,"Compensation, benefits, and job analysis specialists",640,"Compensation, benefits, and job analysis specialists"
13-1151,Training and development specialists,650,Training and development specialists
13-1161,Market research analysts and marketing specialists,735,Market research analysts and marketing specialists
13-1199,"Business operations specialists, all other",750,"Business operations specialists, all other"
13-2011,Accountants and auditors,800,Accountants and auditors
13-2020,Property appraisers and assessors,810,Property appraisers and assessors
13-2031,Budget analysts,820,Budget analysts
13-2041,Credit analysts,830,Credit analysts
13-2051,Financial and investment analysts,845,Financial and investment analysts
13-2052,Personal financial advisors,850,Personal financial advisors
13-2053,Insurance underwriters,860,Insurance underwriters
13-2054,Financial risk specialists,960,Other financial specialists
13-2061,Financial examiners,900,Financial examiners
13-2071,Credit counselors,910,Credit counselors and loan officers
13-2072,Loan officers,910,Credit counselors and loan officers
13-2081,"Tax examiners and collectors, and revenue agents",930,"Tax examiners and collectors, and revenue agents"
13-2082,Tax preparers,940,Tax preparers
13-2099,"Financial specialists, all other",960,Other financial specialists
15-1211,Computer systems analysts,1006,Computer systems analysts
15-1212,Information security analysts,1007,Information security analysts
15-1221,Computer and information research scientists,1005,Computer and information research scientists
15-1231,Computer network support specialists,1050,Computer support specialists
15-1232,Computer user support specialists,1050,Computer support specialists
15-1241,Computer network architects,1106,Computer network architects
15-1242,Database administrators,1065,Database administrators and architects
15-1243,Database architects,1065,Database administrators and architects
15-1244,Network and computer systems administrators,1105,Network and computer systems administrators
15-1251,Computer programmers,1010,Computer programmers
15-1252,Software developers,1021,Software developers
15-1253,Software quality assurance analysts and testers,1022,Software quality assurance analysts and testers
15-1254,Web developers,1031,Web developers
15-1255,Web and digital interface designers,1032,Web and digital interface designers
15-1299,"Computer occupations, all other",1108,"Computer occupations, all other"
15-2011,Actuaries,1200,Actuaries
15-2021,Mathematicians,1240,Other mathematical science occupations
15-2031,Operations research analysts,1220,Operations research analysts
15-2041,Statisticians,1240,Other mathematical science occupations
15-2051,Data scientists,1240,Other mathematical science occupations
15-2099,"Mathematical science occupations, all other",1240,Other mathematical science occupations
17-1011,"Architects, except landscape and naval",1305,"Architects, except landscape and naval"
17-1012,Landscape architects,1306,Landscape architects
17-1021,Cartographers and photogrammetrists,1310,"Surveyors, cartographers, and photogrammetrists"
17-1022,Surveyors,1310,"Surveyors, cartographers, and photogrammetrists"
17-2011,Aerospace engineers,1320,Aerospace engineers
17-2021,Agricultural engineers,1340,Biomedical and agricultural engineers
17-2031,Bioengineers and biomedical engineers,1340,Biomedical and agricultural engineers
17-2041,Chemical engineers,1350,Chemical engineers
17-2051,Civil engineers,1360,Civil engineers
17-2061,Computer hardware engineers,1400,Computer hardware engineers
17-2071,Electrical engineers,1410,Electrical and electronics engineers
17-2072,"Electronics engineers, except computer",1410,Electrical and electronics engineers
17-2081,Environmental engineers,1420,Environmental engineers
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",1430,"Industrial engineers, including health and safety"
17-2112,Industrial engineers,1430,"Industrial engineers, including health and safety"
17-2121,Marine engineers and naval architects,1440,Marine engineers and naval architects
17-2131,Materials engineers,1450,Materials engineers
17-2141,Mechanical engineers,1460,Mechanical engineers
17-2151,"Mining and geological engineers, including mining safety engineers",1520,"Petroleum, mining and geological engineers, including mining safety engineers"
17-2161,Nuclear engineers,1530,Other engineers
17-2171,Petroleum engineers,1520,"Petroleum, mining and geological engineers, including mining safety engineers"
17-2199,"Engineers, all other",1530,Other engineers
17-3011,Architectural and civil drafters,1541,Architectural and civil drafters
17-3012,Electrical and electronics drafters,1545,Other drafters
17-3013,Mechanical drafters,1545,Other drafters
17-3019,"Drafters, all other",1545,Other drafters
17-3021,Aerospace engineering and operations technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3022,Civil engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3023,Electrical and electronic engineering technologists and technicians,1551,Electrical and electronic engineering technologists and technicians
17-3024,Electro-mechanical and mechatronics technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3025,Environmental engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3026,Industrial engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3027,Mechanical engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3028,Calibration technologists and technicians,1555,"Other engineering technologists and technicians, except drafters"
17-3029,"Engineering technologists and technicians, except drafters, all other",1555,"Other engineering technologists and technicians, except drafters"
17-3031,Surveying and mapping technicians,1560,Surveying and mapping technicians
19-1011,Animal scientists,1600,Agricultural and food scientists
19-1012,Food scientists and technologists,1600,Agricultural and food scientists
19-1013,Soil and plant scientists,1600,Agricultural and food scientists
19-1021,Biochemists and biophysicists,1610,Biological scientists
19-1022,Microbiologists,1610,Biological scientists
19-1023,Zoologists and wildlife biologists,1610,Biological scientists
19-1029,"Biological scientists, all other",1610,Biological scientists
19-1031,Conservation scientists,1640,Conservation scientists and foresters
19-1032,Foresters,1640,Conservation scientists and foresters
19-1041,Epidemiologists,1650,Other life scientists
19-1042,"Medical scientists, except epidemiologists",1650,Other life scientists
19-1099,"Life scientists, all other",1650,Other life scientists
19-2011,Astronomers,1700,Astronomers and physicists
19-2012,Physicists,1700,Astronomers and physicists
19-2021,Atmospheric and space scientists,1710,Atmospheric and space scientists
19-2031,Chemists,1720,Chemists and materials scientists
19-2032,Materials scientists,1720,Chemists and materials scientists
19-2041,"Environmental scientists and specialists, including health",1745,"Environmental scientists and specialists, including health"
19-2042,"Geoscientists, except hydrologists and geographers",1750,"Geoscientists and hydrologists, except geographers"
19-2043,Hydrologists,1750,"Geoscientists and hydrologists, except geographers"
19-2099,"Physical scientists, all other",1760,"Physical scientists, all other"
19-3011,Economists,1800,Economists
19-3022,Survey researchers,1860,Other social scientists
19-3032,Industrial-organizational psychologists,1825,Other psychologists
19-3033,Clinical and counseling psychologists,1821,Clinical and counseling psychologists
19-3034,School psychologists,1822,School psychologists
19-3039,"Psychologists, all other",1825,Other psychologists
19-3041,Sociologists,1860,Other social scientists
19-3051,Urban and regional planners,1840,Urban and regional planners
19-3091,Anthropologists and archeologists,1860,Other social scientists
19-3092,Geographers,1860,Other social scientists
19-3093,Historians,1860,Other social scientists
19-3094,Political scientists,1860,Other social scientists
19-3099,"Social scientists and related workers, all other",1860,Other social scientists
19-4012,Agricultural technicians,1900,Agricultural and food science technicians
19-4013,Food science technicians,1900,Agricultural and food science technicians
19-4021,Biological technicians,1910,Biological technicians
19-4031,Chemical technicians,1920,Chemical technicians
19-4042,"Environmental science and protection technicians, including health",1935,"Environmental science and geoscience technicians, and nuclear technicians"
19-4043,"Geological technicians, except hydrologic technicians",1935,"Environmental science and geoscience technicians, and nuclear technicians"
19-4044,Hydrologic technicians,1935,"Environmental science and geoscience technicians, and nuclear technicians"
19-4051,Nuclear technicians,1935,"Environmental science and geoscience technicians, and nuclear technicians"
19-4061,Social science research assistants,1970,"Other life, physical, and social science technicians"
19-4071,Forest and conservation technicians,1970,"Other life, physical, and social science technicians"
19-4092,Forensic science technicians,1970,"Other life, physical, and social science technicians"
19-4099,"Life, physical, and social science technicians, all other",1970,"Other life, physical, and social science technicians"
19-5011,Occupational health and safety specialists,1980,Occupational health and safety specialists and technicians
19-5012,Occupational health and safety technicians,1980,Occupational health and safety specialists and technicians
21-1012,"Educational, guidance, and career counselors and advisors",2002,"Educational, guidance, and career counselors and advisors"
21-1013,Marriage and family therapists,2003,Marriage and family therapists
21-1015,Rehabilitation counselors,2005,Rehabilitation counselors
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",2001,Substance abuse and behavioral disorder counselors
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",2004,Mental health counselors
21-1019,"Counselors, all other",2006,"Counselors, all other"
21-1021,"Child, family, and school social workers",2011,"Child, family, and school social workers"
21-1022,Healthcare social workers,2012,Healthcare social workers
21-1023,Mental health and substance abuse social workers,2013,Mental health and substance abuse social workers
21-1029,"Social workers, all other",2014,"Social workers, all other"
21-1091,Health education specialists,2025,Other community and social service specialists
21-1092,Probation officers and correctional treatment specialists,2015,Probation officers and correctional treatment specialists
21-1093,Social and human service assistants,2016,Social and human service assistants
21-1094,Community health workers,2025,Other community and social service specialists
21-1099,"Community and social service specialists, all other",2025,Other community and social service specialists
21-2011,Clergy,2040,Clergy
21-2021,"Directors, religious activities and education",2050,"Directors, religious activities and education"
21-2099,"Religious workers, all other",2060,"Religious workers, all other"
23-1011,Lawyers,2100,"Lawyers, and judges, magistrates, and other judicial workers"
23-1012,Judicial law clerks,2105,Judicial law clerks
23-1021,"Administrative law judges, adjudicators, and hearing officers",2100,"Lawyers, and judges, magistrates, and other judicial workers"
23-1022,"Arbitrators, mediators, and conciliators",2100,"Lawyers, and judges, magistrates, and other judicial workers"
23-1023,"Judges, magistrate judges, and magistrates",2100,"Lawyers, and judges, magistrates, and other judicial workers"
23-2011,Paralegals and legal assistants,2145,Paralegals and legal assistants
23-2093,"Title examiners, abstractors, and searchers",2170,"Title examiners, abstractors, and searchers"
23-2099,"Legal support workers, all other",2180,"Legal support workers, all other"
25-1011,"Business teachers, postsecondary",2205,Postsecondary teachers
25-1021,"Computer science teachers, postsecondary",2205,Postsecondary teachers
25-1022,"Mathematical science teachers, postsecondary",2205,Postsecondary teachers
25-1031,"Architecture teachers, postsecondary",2205,Postsecondary teachers
25-1032,"Engineering teachers, postsecondary",2205,Postsecondary teachers
