IND,NAICS2022,NAICS2017,_merge,definitive
1070,311,311,both,311
1080,3113,3113,both,3113
1090,3114,3114,both,3114
1170,3115,3115,both,3115
1180,3116,3116,both,3116
1190,311811,311811,both,311811
1270,3118,3118,both,3118
1280,311,311,both,311
1290,311,311,both,311
1370,3121,3121,both,3121
1390,3122,3122,both,3122
1470,3131,3131,both,3131
1480,3132,3132,both,3132
1490,3133,3133,both,3133
1570,31411,31411,both,31411
1590,314,314,both,314
1670,31,31,both,31
1691,315,315,both,315
170,111,111,both,111
1770,3162,3162,both,3162
1790,316,316,both,316
180,112,112,both,112
1870,3221,3221,both,3221
1880,32221,32221,both,32221
1890,3222,3222,both,3222
190,113,113,both,113
1990,3231,3231,both,3231
2070,32411,32411,both,32411
2090,3241,3241,both,3241
2170,3252,3252,both,3252
2180,3253,3253,both,3253
2190,3254,3254,both,3254
2270,3255,3255,both,3255
2280,3256,3256,both,3256
2290,325,325,both,325
2370,3261,3261,both,3261
2380,32621,32621,both,32621
2390,3262,3262,both,3262
2470,32711,32711,both,32711
2480,32712,32712,both,32712
2490,3272,3272,both,3272
2570,327,327,both,327
2590,3279,3279,both,3279
2670,331,331,both,331
2680,3313,3313,both,3313
2690,3314,3314,both,3314
270,1133,1133,both,1133
2770,3315,3315,both,3315
2780,3321,3321,both,3321
2790,3322,3322,both,3322
280,114,114,both,114
2870,332,332,both,332
2880,3327,3327,both,3327
2890,3328,3328,both,3328
290,115,115,both,115
2970,33299,33299,both,33299
2980,332,332,both,332
2990,331332,331332,both,331332
3070,33311,33311,both,33311
3080,3331,3331,both,3331
3095,3333,3333,both,3333
3170,3335,3335,both,3335
3180,3336,3336,both,3336
3291,333,333,both,333
3365,3341,3341,both,3341
3370,334,334,both,334
3380,3345,3345,both,3345
3390,334,334,both,334
3470,3352,3352,both,3352
3490,335,335,both,335
3570,336,336,both,336
3580,33641,33641,both,33641
3590,33641,33641,both,33641
3670,3365,3365,both,3365
3680,3366,3366,both,3366
3690,3369,3369,both,3369
370,211,211,both,211
3770,3211,3211,both,3211
3780,3212,3212,both,3212
3790,32199,32199,both,32199
380,2121,2121,both,2121
3875,3219,3219,both,3219
3895,337,337,both,337
390,2122,2122,both,2122
3960,3391,3391,both,3391
3970,3399,3399,both,3399
3980,3399,3399,both,3399
3990,31-33,31-33,both,31-33
4070,4231,4231,both,4231
4080,4232,4232,both,4232
4090,4233,4233,both,4233
4170,4234,4234,both,4234
4180,4235,4235,both,4235
4195,4236,4236,both,4236
4265,4237,4237,both,4237
4270,4238,4238,both,4238
4280,42393,42393,both,42393
4290,4239,4239,both,4239
4370,4241,4241,both,4241
4380,424,424,both,424
4390,4243,4243,both,4243
4470,4244,4244,both,4244
4480,4245,4245,both,4245
4490,4247,4247,both,4247
4560,4248,4248,both,4248
4570,42491,42491,both,42491
4580,4249,4249,both,4249
4585,4251,4251,both,4251
4590,42,42,both,42
4670,4411,4411,both,4411
4680,,4412,right_only,4412
4681,4412,,left_only,4412
4690,,4413,right_only,4413
4691,4413,,left_only,4413
470,2123,2123,both,2123
4770,,442,right_only,442
4771,4491,,left_only,4491
4780,,443141,right_only,443141
4795,,443142,right_only,443142
4796,4492,,left_only,4492
480,21,21,both,21
4870,,4441,right_only,4441
4871,4441,,left_only,4441
4880,,44413,right_only,44413
4881,44414,,left_only,44414
4890,,4442,right_only,4442
4891,4442,,left_only,4442
490,213,213,both,213
4971,44511,44511,both,44511
4972,,44512,right_only,44512
4973,44513,,left_only,44513
4980,,4452,right_only,4452
4981,4452,,left_only,4452
4990,,4453,right_only,4453
4991,4453,,left_only,4453
5070,,44611,right_only,44611
5071,45611,,left_only,45611
5080,,446,right_only,446
5081,4561,,left_only,4561
5090,4571,447,both,44-45
5170,,4481,right_only,4481
5171,4581,,left_only,4581
5180,,44821,right_only,44821
5181,4582,,left_only,4582
5190,,4483,right_only,4483
5191,4583,,left_only,4583
5275,,4511,right_only,4511
5276,4591,,left_only,4591
5280,,45113,right_only,45113
5281,45913,,left_only,45913
5295,,45114,right_only,45114
5296,45914,,left_only,45914
5370,,45121,right_only,45121
5371,45921,,left_only,45921
5381,,45221,right_only,45221
5382,4551,,left_only,4551
5391,,4523,right_only,4523
5392,4552,,left_only,4552
5470,,4531,right_only,4531
5471,4593,,left_only,4593
5480,,45321,right_only,45321
5481,45941,,left_only,45941
5490,,4533,right_only,4533
5491,4595,,left_only,4595
5570,,45322,right_only,45322
5571,45942,,left_only,45942
5580,,4539,right_only,4539
5581,4599,,left_only,4599
5593,,45411,right_only,45411
5670,,4542,right_only,4542
5680,4572,45431,both,45
5690,,45439,right_only,45439
570,2211,2211,both,2211
5790,,44-45,right_only,44-45
5791,44-45,,left_only,44-45
580,2212,2212,both,2212
590,221,221,both,221
6070,481,481,both,481
6080,482,482,both,482
6090,483,483,both,483
6170,484,484,both,484
6180,485,485,both,485
6190,4853,4853,both,4853
6270,486,486,both,486
6280,487,487,both,487
6290,488,488,both,488
6370,491,491,both,491
6380,492,492,both,492
6390,493,493,both,493
