"state","puma22","cbsa20","cbsatype20","stab","CBSAName20","PUMA22name","pop20","afact"
"State code","PUMA (2022)","Core-based statistical area code","CBSA type (2020)","State abbr.","2020 CBSA name","PUMA22 name","Total population (2020 Census)","puma22-to-cbsatype20 allocation factor"
"01","00100","22520","Metro","AL","Florence-Muscle Shoals, AL","Lauderdale, Colbert & Franklin Counties",150791,0.8244 
"01","00100","99999"," ","AL","[not in a CBSA]","Lauderdale, Colbert & Franklin Counties",32113,0.1756 
"01","00200","26620","Metro","AL","Huntsville, AL","Limestone County",103570,1 
"01","00300","19460","Metro","AL","Decatur, AL","Morgan & Lawrence Counties--Decatur City",156494,1 
"01","00401","26620","Metro","AL","Huntsville, AL","Madison County (North & East)--Huntsville City (East)",113502,1 
"01","00402","26620","Metro","AL","Huntsville, AL","Huntsville (North & Far West), Madison (East) & Triana Cities",153097,1 
"01","00403","26620","Metro","AL","Huntsville, AL","Huntsville City (Central & South)",107983,1 
"01","00501","10700","Micro","AL","Albertville, AL","Marshall & Madison (Far Southeast) Counties",97612,0.8779 
"01","00501","26620","Metro","AL","Huntsville, AL","Marshall & Madison (Far Southeast) Counties",13571,0.1221 
"01","00600","22840","Micro","AL","Fort Payne, AL","DeKalb & Jackson Counties",71608,0.5766 
"01","00600","42460","Micro","AL","Scottsboro, AL","DeKalb & Jackson Counties",52579,0.4234 
"01","00700","23460","Metro","AL","Gadsden, AL","Etowah & Cherokee Counties",103436,0.8055 
"01","00700","99999"," ","AL","[not in a CBSA]","Etowah & Cherokee Counties",24971,0.1945 
"01","00800","11500","Metro","AL","Anniston-Oxford, AL","Calhoun County",116441,1 
"01","00900","13820","Metro","AL","Birmingham-Hoover, AL","St. Clair & Blount Counties",150237,1 
"01","01000","18980","Micro","AL","Cullman, AL","Cullman, Marion & Winston Counties",87866,0.6243 
"01","01000","99999"," ","AL","[not in a CBSA]","Cullman, Marion & Winston Counties",52881,0.3757 
"01","01100","13820","Metro","AL","Birmingham-Hoover, AL","West Alabama",22293,0.1771 
"01","01100","46220","Metro","AL","Tuscaloosa, AL","West Alabama",41638,0.3307 
"01","01100","99999"," ","AL","[not in a CBSA]","West Alabama",61961,0.4922 
"01","01201","46220","Metro","AL","Tuscaloosa, AL","Tuscaloosa County (Outer)--Northport City (North & West)",101012,1 
"01","01202","46220","Metro","AL","Tuscaloosa, AL","Tuscaloosa & Northport (Southeast) Cities",126024,1 
"01","01301","13820","Metro","AL","Birmingham-Hoover, AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",50475,0.4358 
"01","01301","27530","Micro","AL","Jasper, AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",65342,0.5642 
"01","01401","13820","Metro","AL","Birmingham-Hoover, AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",118409,1 
"01","01402","13820","Metro","AL","Birmingham-Hoover, AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",133581,1 
"01","01403","13820","Metro","AL","Birmingham-Hoover, AL","Birmingham City",187166,1 
"01","01404","13820","Metro","AL","Birmingham-Hoover, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",185090,1 
"01","01501","13820","Metro","AL","Birmingham-Hoover, AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",137436,1 
"01","01502","13820","Metro","AL","Birmingham-Hoover, AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",130602,1 
"01","01600","45180","Micro","AL","Talladega-Sylacauga, AL","Talladega, Randolph, Cleburne & Clay Counties",82149,0.6158 
"01","01600","99999"," ","AL","[not in a CBSA]","Talladega, Randolph, Cleburne & Clay Counties",51259,0.3842 
"01","01700","33860","Metro","AL","Montgomery, AL","Autauga, Dallas, Lowndes & Perry Counties",69116,0.5954 
"01","01700","42820","Micro","AL","Selma, AL","Autauga, Dallas, Lowndes & Perry Counties",38462,0.3313 
"01","01700","99999"," ","AL","[not in a CBSA]","Autauga, Dallas, Lowndes & Perry Counties",8511,0.0733 
"01","01801","33860","Metro","AL","Montgomery, AL","Montgomery City (West)",109409,1 
"01","01802","33860","Metro","AL","Montgomery, AL","Montgomery City (East) & Pike Road Town (Northwest)",105471,1 
"01","01901","33860","Metro","AL","Montgomery, AL","Elmore & Montgomery (South & Far East) Counties",102051,1 
"01","02000","10760","Micro","AL","Alexander City, AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",51698,0.4443 
"01","02000","29300","Micro","AL","LaGrange, GA-AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",34772,0.2988 
"01","02000","99999"," ","AL","[not in a CBSA]","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",29889,0.2569 
"01","02101","12220","Metro","AL","Auburn-Opelika, AL","Lee County (West)--Auburn & Opelika Cities",127904,1 
"01","02201","12220","Metro","AL","Auburn-Opelika, AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",46337,0.4391 
"01","02201","17980","Metro","AL","Columbus, GA-AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",59183,0.5609 
"01","02300","20020","Metro","AL","Dothan, AL","Houston, Geneva & Henry Counties--Dothan City",151007,1 
"01","02400","21460","Micro","AL","Enterprise, AL","Coffee & Dale Counties",53465,0.5201 
"01","02400","37120","Micro","AL","Ozark, AL","Coffee & Dale Counties",49326,0.4799 
"01","02500","21640","Micro","AL","Eufaula, AL-GA","Covington, Pike, Barbour, Butler & Crenshaw Counties",25223,0.197 
"01","02500","45980","Micro","AL","Troy, AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",33009,0.2578 
"01","02500","99999"," ","AL","[not in a CBSA]","Covington, Pike, Barbour, Butler & Crenshaw Counties",69815,0.5452 
"01","02600","12120","Micro","AL","Atmore, AL","Southwest Alabama",36757,0.283 
"01","02600","33660","Metro","AL","Mobile, AL","Southwest Alabama",15388,0.1185 
"01","02600","99999"," ","AL","[not in a CBSA]","Southwest Alabama",77721,0.5985 
"01","02701","19300","Metro","AL","Daphne-Fairhope-Foley, AL","Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,1 
"01","02702","19300","Metro","AL","Daphne-Fairhope-Foley, AL","Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,1 
"01","02801","33660","Metro","AL","Mobile, AL","Mobile County (Outer)--Prichard & Saraland Cities",139133,1 
