"county","cbsa20","CountyName","CBSAName20","pop20","afact2","afact"
"County code","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","cbsa20-to-county allocation factor","county-to-cbsa20 allocation factor"
"01001","33860","Autauga AL","Montgomery, AL",58805,0.1523,1 
"01003","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",231767,1,1 
"01005","21640","Barbour AL","Eufaula, AL-GA",25223,0.9186,1 
"01007","13820","Bibb AL","Birmingham-Hoover, AL",22293,0.02,1 
"01009","13820","Blount AL","Birmingham-Hoover, AL",59134,0.053,1 
"01011","99999","Bullock AL","[not in a CBSA]",10357,0.0006,1 
"01013","99999","Butler AL","[not in a CBSA]",19051,0.0011,1 
"01015","11500","Calhoun AL","Anniston-Oxford, AL",116441,1,1 
"01017","29300","Chambers AL","LaGrange, GA-AL",34772,0.3337,1 
"01019","99999","Cherokee AL","[not in a CBSA]",24971,0.0014,1 
"01021","13820","Chilton AL","Birmingham-Hoover, AL",45014,0.0404,1 
"01023","99999","Choctaw AL","[not in a CBSA]",12665,0.0007,1 
"01025","99999","Clarke AL","[not in a CBSA]",23087,0.0013,1 
"01027","99999","Clay AL","[not in a CBSA]",14236,0.0008,1 
"01029","99999","Cleburne AL","[not in a CBSA]",15056,0.0008,1 
"01031","21460","Coffee AL","Enterprise, AL",53465,1,1 
"01033","22520","Colbert AL","Florence-Muscle Shoals, AL",57227,0.3795,1 
"01035","99999","Conecuh AL","[not in a CBSA]",11597,0.0006,1 
"01037","10760","Coosa AL","Alexander City, AL",10387,0.2009,1 
"01039","99999","Covington AL","[not in a CBSA]",37570,0.0021,1 
"01041","99999","Crenshaw AL","[not in a CBSA]",13194,0.0007,1 
"01043","18980","Cullman AL","Cullman, AL",87866,1,1 
"01045","37120","Dale AL","Ozark, AL",49326,1,1 
"01047","42820","Dallas AL","Selma, AL",38462,1,1 
"01049","22840","DeKalb AL","Fort Payne, AL",71608,1,1 
"01051","33860","Elmore AL","Montgomery, AL",87977,0.2279,1 
"01053","12120","Escambia AL","Atmore, AL",36757,1,1 
"01055","23460","Etowah AL","Gadsden, AL",103436,1,1 
"01057","99999","Fayette AL","[not in a CBSA]",16321,0.0009,1 
"01059","99999","Franklin AL","[not in a CBSA]",32113,0.0018,1 
"01061","20020","Geneva AL","Dothan, AL",26659,0.1765,1 
"01063","46220","Greene AL","Tuscaloosa, AL",7730,0.0288,1 
"01065","46220","Hale AL","Tuscaloosa, AL",14785,0.055,1 
"01067","20020","Henry AL","Dothan, AL",17146,0.1135,1 
"01069","20020","Houston AL","Dothan, AL",107202,0.7099,1 
"01071","42460","Jackson AL","Scottsboro, AL",52579,1,1 
"01073","13820","Jefferson AL","Birmingham-Hoover, AL",674721,0.605,1 
"01075","99999","Lamar AL","[not in a CBSA]",13972,0.0008,1 
"01077","22520","Lauderdale AL","Florence-Muscle Shoals, AL",93564,0.6205,1 
"01079","19460","Lawrence AL","Decatur, AL",33073,0.2113,1 
"01081","12220","Lee AL","Auburn-Opelika, AL",174241,1,1 
"01083","26620","Limestone AL","Huntsville, AL",103570,0.2106,1 
"01085","33860","Lowndes AL","Montgomery, AL",10311,0.0267,1 
"01087","99999","Macon AL","[not in a CBSA]",19532,0.0011,1 
"01089","26620","Madison AL","Huntsville, AL",388153,0.7894,1 
"01091","99999","Marengo AL","[not in a CBSA]",19323,0.0011,1 
"01093","99999","Marion AL","[not in a CBSA]",29341,0.0016,1 
"01095","10700","Marshall AL","Albertville, AL",97612,1,1 
"01097","33660","Mobile AL","Mobile, AL",414809,0.9642,1 
"01099","99999","Monroe AL","[not in a CBSA]",19772,0.0011,1 
"01101","33860","Montgomery AL","Montgomery, AL",228954,0.5931,1 
"01103","19460","Morgan AL","Decatur, AL",123421,0.7887,1 
"01105","99999","Perry AL","[not in a CBSA]",8511,0.0005,1 
"01107","46220","Pickens AL","Tuscaloosa, AL",19123,0.0712,1 
"01109","45980","Pike AL","Troy, AL",33009,1,1 
"01111","99999","Randolph AL","[not in a CBSA]",21967,0.0012,1 
"01113","17980","Russell AL","Columbus, GA-AL",59183,0.18,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL",91103,0.0817,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL",223024,0.2,1 
"01119","99999","Sumter AL","[not in a CBSA]",12345,0.0007,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL",82149,1,1 
"01123","10760","Tallapoosa AL","Alexander City, AL",41311,0.7991,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL",227036,0.845,1 
"01127","27530","Walker AL","Jasper, AL",65342,1,1 
