OCC_CODE,OCC_TITLE,low_wfh,low_wfh_binary,low_wfh_q1,low_wfh_q2,low_wfh_q3,low_wfh_q4,high_wfh,pp,pp_binary,pp_q1,pp_q2,pp_q3,pp_q4
47-3013,Helpers--Electricians,1.0,1,0,0,0,1,0.0,0.7331536388140161,1,0,0,1,0
33-2011,Firefighters,1.0,1,0,0,0,1,0.0,0.8975741239892183,1,0,0,0,1
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,1.0,1,0,0,0,1,0.0,0.7924528301886794,1,0,0,0,1
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.0,1,0,0,0,1,0.0,0.601078167115903,0,0,1,0,0
49-9081,Wind Turbine Service Technicians,1.0,1,0,0,0,1,0.0,0.8598382749326147,1,0,0,0,1
49-9071,"Maintenance and Repair Workers, General",1.0,1,0,0,0,1,0.0,0.5929919137466307,0,0,1,0,0
49-9044,Millwrights,1.0,1,0,0,0,1,0.0,0.8274932614555257,1,0,0,0,1
49-3052,Motorcycle Mechanics,1.0,1,0,0,0,1,0.0,0.4366576819407008,0,1,0,0,0
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.43396226415094336,0,1,0,0,0
49-3043,Rail Car Repairers,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.6226415094339625,0,0,1,0,0
47-2111,Electricians,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.4555256064690027,0,1,0,0,0
47-2011,Boilermakers,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.6657681940700808,1,0,0,1,0
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.8247978436657681,1,0,0,0,1
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.477088948787062,0,1,0,0,0
53-7071,Gas Compressor and Gas Pumping Station Operators,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.633423180592992,1,0,0,1,0
47-5011,"Derrick Operators, Oil and Gas",0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.8598382749326147,1,0,0,0,1
51-9011,Chemical Equipment Operators and Tenders,0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.4690026954177897,0,1,0,0,0
47-5043,"Roof Bolters, Mining",0.9166666666666666,1,0,0,0,1,0.08333333333333337,0.7547169811320754,1,0,0,0,1
47-5012,"Rotary Drill Operators, Oil and Gas",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.7789757412398921,1,0,0,0,1
47-5013,"Service Unit Operators, Oil and Gas",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.7735849056603774,1,0,0,0,1
49-3041,Farm Equipment Mechanics and Service Technicians,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.48787061994609165,0,1,0,0,0
33-9011,Animal Control Workers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.5040431266846361,0,1,0,0,0
47-2151,Pipelayers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.8571428571428571,1,0,0,0,1
47-2221,Structural Iron and Steel Workers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.8571428571428571,1,0,0,0,1
29-2034,Radiologic Technologists and Technicians,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.9245283018867924,1,0,0,0,1
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.6118598382749326,0,0,1,0,0
53-5011,Sailors and Marine Oilers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.6630727762803235,1,0,0,1,0
53-5031,Ship Engineers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.6684636118598383,1,0,0,1,0
29-2056,Veterinary Technologists and Technicians,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.8733153638814016,1,0,0,0,1
49-9051,Electrical Power-Line Installers and Repairers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.7708894878706201,1,0,0,0,1
47-4021,Elevator and Escalator Installers and Repairers,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.6253369272237198,0,0,1,0,0
49-9043,"Maintenance Workers, Machinery",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.536388140161725,0,0,1,0,0
49-9099,"Installation, Maintenance, and Repair Workers, All Other",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.3719676549865229,0,1,0,0,0
47-4099,"Construction and Related Workers, All Other",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.6711590296495956,1,0,0,1,0
53-7121,"Tank Car, Truck, and Ship Loaders",0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.5849056603773585,0,0,1,0,0
53-6031,Automotive and Watercraft Service Attendants,0.8333333333333334,1,0,0,0,1,0.16666666666666663,0.5687331536388139,0,0,1,0,0
51-8091,Chemical Plant and System Operators,0.75,1,0,0,0,1,0.25,0.6091644204851752,0,0,1,0,0
47-2073,Operating Engineers and Other Construction Equipment Operators,0.75,1,0,0,0,1,0.25,0.6738544474393531,1,0,0,1,0
51-8021,Stationary Engineers and Boiler Operators,0.75,1,0,0,0,1,0.25,0.5714285714285715,0,0,1,0,0
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.75,1,0,0,0,1,0.25,0.8706199460916441,1,0,0,0,1
47-5081,Helpers--Extraction Workers,0.75,1,0,0,0,1,0.25,0.784366576819407,1,0,0,0,1
49-2092,"Electric Motor, Power Tool, and Related Repairers",0.75,1,0,0,0,1,0.25,0.5660377358490566,0,0,1,0,0
45-4011,Forest and Conservation Workers,0.75,1,0,0,0,1,0.25,0.4743935309973045,0,1,0,0,0
45-4021,Fallers,0.75,1,0,0,0,1,0.25,0.0,0,1,0,0,0
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.75,1,0,0,0,1,0.25,0.536388140161725,0,0,1,0,0
53-7073,Wellhead Pumpers,0.75,1,0,0,0,1,0.25,0.1212938005390835,0,1,0,0,0
49-3051,Motorboat Mechanics and Service Technicians,0.75,1,0,0,0,1,0.25,0.6064690026954178,0,0,1,0,0
33-2022,Forest Fire Inspectors and Prevention Specialists,0.75,1,0,0,0,1,0.25,0.5013477088948787,0,1,0,0,0
49-3023,Automotive Service Technicians and Mechanics,0.75,1,0,0,0,1,0.25,0.47978436657681933,0,1,0,0,0
49-9092,Commercial Divers,0.75,1,0,0,0,1,0.25,0.7304582210242587,1,0,0,1,0
49-9094,Locksmiths and Safe Repairers,0.75,1,0,0,0,1,0.25,0.5902964959568733,0,0,1,0,0
49-9095,Manufactured Building and Mobile Home Installers,0.75,1,0,0,0,1,0.25,0.7088948787061995,1,0,0,1,0
47-4061,Rail-Track Laying and Maintenance Equipment Operators,0.75,1,0,0,0,1,0.25,0.8355795148247978,1,0,0,0,1
49-9052,Telecommunications Line Installers and Repairers,0.75,1,0,0,0,1,0.25,0.6064690026954178,0,0,1,0,0
37-2021,Pest Control Workers,0.75,1,0,0,0,1,0.25,0.42857142857142855,0,1,0,0,0
29-9093,Surgical Assistants,0.75,1,0,0,0,1,0.25,0.9649595687331537,1,0,0,0,1
35-1011,Chefs and Head Cooks,0.75,1,0,0,0,1,0.25,0.7870619946091644,1,0,0,0,1
49-3092,Recreational Vehicle Service Technicians,0.75,1,0,0,0,1,0.25,0.490566037735849,0,1,0,0,0
49-9011,Mechanical Door Repairers,0.75,1,0,0,0,1,0.25,0.7061994609164423,1,0,0,1,0
