cbsa20,cbsatype20,CBSAName20,state_puma
12300,Micro,"Augusta-Waterville, ME",23-00400
41140,Metro,"St. Joseph, MO-KS",29-00200
28140,Metro,"Kansas City, MO-KS",29-01000
28140,Metro,"Kansas City, MO-KS",29-00902
28140,Metro,"Kansas City, MO-KS",29-00901
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04615
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04616
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04617
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04618
17860,Metro,"Columbia, MO",29-00601
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04619
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04620
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04621
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04622
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04623
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04624
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04625
10180,Metro,"Abilene, TX",48-02700
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04626
25060,Metro,"Gulfport-Biloxi, MS",28-02100
25060,Metro,"Gulfport-Biloxi, MS",28-02002
25060,Metro,"Gulfport-Biloxi, MS",28-02001
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04627
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04628
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04629
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04630
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04631
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04633
27140,Metro,"Jackson, MS",28-01300
27140,Metro,"Jackson, MS",28-01101
26620,Metro,"Huntsville, AL",01-00200
27140,Metro,"Jackson, MS",28-00900
28140,Metro,"Kansas City, MO-KS",29-01101
28140,Metro,"Kansas City, MO-KS",29-01102
28140,Metro,"Kansas City, MO-KS",29-01103
28140,Metro,"Kansas City, MO-KS",29-01104
27900,Metro,"Joplin, MO",29-02900
44180,Metro,"Springfield, MO",29-02703
44180,Metro,"Springfield, MO",29-02702
44180,Metro,"Springfield, MO",29-02701
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04607
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04608
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04609
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04610
41180,Metro,"St. Louis, MO-IL",29-02102
41180,Metro,"St. Louis, MO-IL",29-02101
41180,Metro,"St. Louis, MO-IL",29-02002
41180,Metro,"St. Louis, MO-IL",29-02001
41180,Metro,"St. Louis, MO-IL",29-01908
41180,Metro,"St. Louis, MO-IL",29-01907
41180,Metro,"St. Louis, MO-IL",29-01906
41180,Metro,"St. Louis, MO-IL",29-01905
41180,Metro,"St. Louis, MO-IL",29-01904
41180,Metro,"St. Louis, MO-IL",29-01903
41180,Metro,"St. Louis, MO-IL",29-01902
41180,Metro,"St. Louis, MO-IL",29-01901
41180,Metro,"St. Louis, MO-IL",29-01803
41180,Metro,"St. Louis, MO-IL",29-01802
41180,Metro,"St. Louis, MO-IL",29-01801
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04611
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04612
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04613
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04614
28140,Metro,"Kansas City, MO-KS",29-01200
28140,Metro,"Kansas City, MO-KS",29-01105
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04634
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04635
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04636
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01609
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01607
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01606
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01605
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01604
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01603
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01602
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01601
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01505
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01504
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01503
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01502
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01501
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01402
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01401
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01303
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01302
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01301
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01200
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01101
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05302
41060,Metro,"St. Cloud, MN",27-00901
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05303
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05304
20260,Metro,"Duluth, MN-WI",27-00401
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05305
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05306
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05307
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05308
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05309
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01608
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01610
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04637
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01611
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04638
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04639
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04640
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04701
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04702
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04801
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04802
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04803
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04901
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04902
32820,Metro,"Memphis, TN-MS-AR",28-00100
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04903
40340,Metro,"Rochester, MN",27-02700
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04904
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04906
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04907
31860,Metro,"Mankato, MN",27-02400
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05201
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05202
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05203
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05204
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05301
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-02001
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01900
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01800
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01704
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01703
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01702
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01701
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04606
14580,Micro,"Bozeman, MT",30-00400
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04605
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01405
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01403
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01402
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01401
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01205
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01204
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01203
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01202
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01201
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01106
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01105
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01104
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01103
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01102
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01101
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01003
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01002
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-01001
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00907
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00906
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00905
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00904
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00903
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00902
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00901
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00800
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00605
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00604
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",34-00603
