ONET_SOC_CODE,mechanical,cognitive,social,OCCUPATION_TITLE,occ_major,occ_minor,occ_broad,occ_detailed
11-1011.00,0.32775240306819325,0.8550194280468231,0.7560979077740391,Chief Executives,11-0000,11-1000,11-1010,11-1011
11-1011.03,0.30398915586245695,0.8358753336354345,0.6847111141229767,Chief Sustainability Officers,11-0000,11-1000,11-1010,11-1011
11-1021.00,0.3409138488722996,0.7005232506568293,0.5278241433965396,General and Operations Managers,11-0000,11-1000,11-1010,11-1021
11-2011.00,0.1603539658906798,0.7752360018263191,0.47335090615463,Advertising and Promotions Managers,11-0000,11-2000,11-2010,11-2011
11-2021.00,0.15868345580580223,0.8366218448203133,0.5049169605122988,Marketing Managers,11-0000,11-2000,11-2010,11-2021
11-2022.00,0.24325998758701944,0.7956781775776789,0.5923076752504927,Sales Managers,11-0000,11-2000,11-2010,11-2022
11-3012.00,0.4212549133875268,0.5979743647722567,0.5732215705643617,Administrative Services Managers,11-0000,11-3000,11-3010,11-3012
11-3013.00,0.669094234753563,0.48870712336464095,0.7015437146676083,Facilities Managers,11-0000,11-3000,11-3010,11-3013
11-3021.00,0.3556271761833253,0.8068785463312375,0.5598368780365703,Computer and Information Systems Managers,11-0000,11-3000,11-3010,11-3021
11-3031.00,0.16860167926914166,0.7743431430076042,0.496863647480011,Financial Managers,11-0000,11-3000,11-3010,11-3031
11-3031.01,0.14823414399682694,0.8911864473437929,0.54053067410598,Treasurers and Controllers,11-0000,11-3000,11-3010,11-3031
11-3031.03,0.10741397023132238,0.8564794231373654,0.4458677557012989,Investment Fund Managers,11-0000,11-3000,11-3010,11-3031
11-3051.00,0.60174411205265,0.5788233352588044,0.6041341402661169,Industrial Production Managers,11-0000,11-3000,11-3010,11-3051
11-3051.01,0.544432880079947,0.6948494240352265,0.6569827799896102,Quality Control Systems Managers,11-0000,11-3000,11-3010,11-3051
11-3051.02,0.6819774216177803,0.6316461427605158,0.714530045065111,Geothermal Production Managers,11-0000,11-3000,11-3010,11-3051
11-3051.03,0.6250782806940405,0.6167501518597617,0.6587586010362642,Biofuels Production Managers,11-0000,11-3000,11-3010,11-3051
11-3051.04,0.7164318874240855,0.5762284833759317,0.6877142200155194,Biomass Power Plant Managers,11-0000,11-3000,11-3010,11-3051
11-3051.06,0.7071949485122744,0.6035357333432618,0.698332840481564,Hydroelectric Production Managers,11-0000,11-3000,11-3010,11-3051
11-3061.00,0.2505075969614925,0.7927128453083768,0.5639139293096057,Purchasing Managers,11-0000,11-3000,11-3010,11-3061
11-3071.00,0.4173840512969125,0.6636078630980458,0.6175708838513114,"Transportation, Storage, and Distribution Managers",11-0000,11-3000,11-3010,11-3071
