ONET_SOC_CODE,ESTIMATE_WFH_ABLE,OCC_CODE
11-1011.00,0.5186567164179104,11-1011
11-1021.00,0.34328358208955223,11-1021
11-2011.00,0.48880597014925364,11-2011
11-2021.00,0.7425373134328358,11-2021
11-2022.00,0.667910447761194,11-2022
11-3012.00,0.5273631840796019,11-3012
11-3013.00,0.03606965174129353,11-3013
11-3021.00,0.8072139303482587,11-3021
11-3031.00,0.5074626865671641,11-3031
11-3051.00,0.15049751243781093,11-3051
11-3061.00,0.585820895522388,11-3061
11-3071.00,0.18905472636815918,11-3071
11-3121.00,0.6169154228855721,11-3121
11-3131.00,0.5435323383084577,11-3131
11-9021.00,0.22139303482587064,11-9021
11-9031.00,0.0708955223880597,11-9031
11-9032.00,0.033582089552238806,11-9032
11-9033.00,0.42288557213930345,11-9033
11-9041.00,0.5248756218905473,11-9041
11-9051.00,0.007462686567164178,11-9051
11-9071.00,0.0,11-9071
11-9081.00,0.026119402985074626,11-9081
11-9111.00,0.2699004975124378,11-9111
11-9141.00,0.26243781094527363,11-9141
11-9151.00,0.5186567164179104,11-9151
11-9161.00,0.29850746268656714,11-9161
13-1023.00,0.2922885572139303,13-1023
13-1031.00,0.7300995024875622,13-1031
13-1051.00,0.30845771144278605,13-1051
13-1071.00,0.45895522388059695,13-1071
13-1081.00,0.417910447761194,13-1081
13-1111.00,0.7624378109452735,13-1111
13-1121.00,0.4191542288557214,13-1121
13-1131.00,0.8308457711442785,13-1131
13-1141.00,0.8308457711442785,13-1141
13-1151.00,0.30721393034825867,13-1151
13-1161.00,0.8395522388059701,13-1161
13-2011.00,0.6355721393034826,13-2011
13-2023.00,0.27487562189054726,13-2023
13-2031.00,0.3980099502487562,13-2031
13-2052.00,0.3544776119402985,13-2052
13-2072.00,0.6703980099502487,13-2072
15-1211.00,0.6828358208955223,15-1211
15-1231.00,0.4129353233830846,15-1231
15-1232.00,0.45895522388059695,15-1232
15-1244.00,0.5422885572139303,15-1244
15-1251.00,0.7624378109452735,15-1251
15-1253.00,0.6144278606965173,15-1253
15-1254.00,0.9999999999,15-1254
17-2051.00,0.4502487562189055,17-2051
17-2071.00,0.5609452736318408,17-2071
17-2111.00,0.05472636815920398,17-2111
17-2112.00,0.1480099502487562,17-2112
17-2141.00,0.3233830845771144,17-2141
17-3011.00,0.7201492537313432,17-3011
17-3013.00,0.08582089552238806,17-3013
17-3022.00,0.24004975124378108,17-3022
17-3023.00,0.1990049751243781,17-3023
17-3025.00,0.2699004975124378,17-3025
17-3026.00,0.00870646766169154,17-3026
17-3031.00,0.029850746268656712,17-3031
19-1012.00,0.022388059701492536,19-1012
19-1041.00,0.41542288557213924,19-1041
19-2012.00,0.44402985074626866,19-2012
19-2031.00,0.028606965174129348,19-2031
19-2032.00,0.08333333333333333,19-2032
19-2041.00,0.22263681592039797,19-2041
19-3033.00,0.026119402985074626,19-3033
19-3051.00,0.46019900497512434,19-3051
19-4013.00,0.0,19-4013
19-4031.00,0.0,19-4031
19-4042.00,0.0,19-4042
19-5011.00,0.3196517412935323,19-5011
19-5012.00,0.023631840796019897,19-5012
21-1011.00,0.5074626865671641,21-1011
21-1012.00,0.12064676616915421,21-1012
21-1014.00,0.2935323383084577,21-1014
21-1015.00,0.1579601990049751,21-1015
21-1021.00,0.16293532338308456,21-1021
